"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","LM"
"432","24.145.213.beh","2011-02-11",1297434950,1379178,"0001144204-11-007453","xslF345X03/v210866_ex.xml",17705,232,175,"robot"
"433","24.145.213.beh","2011-02-11",1297434942,28412,"0000028412-11-000049","xslF345X03/edgar.xml",27932,232,175,"robot"
"434","24.145.213.beh","2011-02-11",1297434923,861842,"0001262063-11-000018","xslF345X03/edgar.xml",26906,232,175,"robot"
"435","24.145.213.beh","2011-02-11",1297434913,17843,"0001426631-11-000002","xslF345X03/edgar.xml",18444,232,175,"robot"
"436","24.145.213.beh","2011-02-11",1297434903,766701,"0001227826-11-000002","xslF345X03/edgardoc.xml",18243,232,175,"robot"
"437","24.145.213.beh","2011-02-11",1297434895,927628,"0001225208-11-005344","xslF345X03/doc4.xml",18534,232,175,"robot"
"438","24.145.213.beh","2011-02-11",1297434830,941548,"0001427152-11-000072","xslF345X03/edgardoc.xml",18997,232,175,"robot"
"439","24.145.213.beh","2011-02-11",1297434815,1042765,"0001144204-11-007419","xslF345X03/v210748_ex.xml",17766,232,175,"robot"
"440","24.145.213.beh","2011-02-11",1297434806,1324092,"0001140361-11-007971","xslF345X03/doc1.xml",20439,232,175,"robot"
"441","24.145.213.beh","2011-02-11",1297434793,1322505,"0001466049-11-000011","xslF345X03/edgar.xml",19916,232,175,"robot"
"442","192.88.158.eff","2011-02-11",1297434730,1392522,"0001193125-11-032368","d10k.htm",2701428,14,2,"human"
"443","192.88.158.eff","2011-02-11",1297434719,1392522,"0001193125-11-032368","dex311.htm",9324,14,2,"human"
"444","192.88.158.eff","2011-02-11",1297434700,1392522,"0001193125-11-032368","dex121.htm",34732,14,2,"human"
"445","24.145.213.beh","2011-02-11",1297434690,1390312,"0001209191-11-008305","xslF345X03/c12275_4x0.xml",22264,232,175,"robot"
"446","192.88.158.eff","2011-02-11",1297434683,1392522,"0001193125-11-032368","dex1052.htm",39604,14,2,"human"
"447","24.145.213.beh","2011-02-11",1297434678,1486957,"0001492627-11-000002","xslF345X03/edgar.xml",18162,232,175,"robot"
"448","192.88.158.eff","2011-02-11",1297434666,1392522,"0001193125-11-032368","dex1051.htm",22725,14,2,"human"
"449","24.145.213.beh","2011-02-11",1297434665,802681,"0001181431-11-009145","xslF345X03/rrd300942.xml",20260,232,175,"robot"
